source_collection_id,product_handle,product_id,variant_id,collection_ids
TONES-COL-0054,pink-oxford-shirt,11079248969921,50606712914113,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0055,rustic-brown-acid-wash-t-shirt,11027259588801,50427312111809,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|489800040641|487623786689
TONES-COL-0055,navy-blue-acid-wash-t-shirt-1,11027260408001,50427315257537,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0055,navy-blue-acid-wash-t-shirt-2,11027260997825,50427320860865,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0055,brown-double-pocket-shacket,10852506468545,49663564611777,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0055,grey-double-pocket-shacket,10852506435777,49663563104449,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0055,grey-cargo,10897638097089,49934133264577,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0055,olive-green-cargos,10897643536577,49934144078017,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0055,navy-blue-courdury-shacket,10907446378689,49963381555393,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0055,maroon-courdry-shacket-copy,10907453161665,49963396825281,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0055,soft-white-satin-shirt,11040948256961,50484126744769,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0055,soft-white-satin-shirt-copy,11040948879553,50484128284865,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0055,burgundy-satin-shirt,11040949436609,50484129530049,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0055,navy-blue-shirt,11040950124737,50484131266753,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
